"id","code","name","user_type_id/id","reconcile","chart_template_id/id"
"specific_account.account_tmp_3700",3700,"Prestations propres et consommations propres","account.data_account_type_revenue",,"enfinfidu_chart_template"
"specific_account.account_tmp_3800",3800,"Déductions sur ventes","account.data_account_type_revenue",,"enfinfidu_chart_template"
"specific_account.account_tmp_3810",3810,"Rabais, escomptes, ristournes","account.data_account_type_revenue",,"enfinfidu_chart_template"
"specific_account.account_tmp_3820",3820,"Pertes sur clients","account.data_account_type_revenue",,"enfinfidu_chart_template"
"specific_account.account_tmp_3830",3830,"Arrondis","account.data_account_type_revenue",,"enfinfidu_chart_template"
"specific_account.account_tmp_3900",3900,"Variations de stocks de produits et de services en cours et terminés","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4000",4000,"Charge de matières","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4200",4200,"Charges de marchandises","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4300",4300,"Charges pour prestations de tiers (services)","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4600",4600,"Autres charges","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4700",4700,"Charges directes d'achat","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4710",4710,"Frais de transport à l'achat","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4800",4800,"Variations de stocks, perte de matières et de marchandises","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_4900",4900,"Déductions obtenues sur charges","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5000",5000,"Charges de personnel de production","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5200",5200,"Charges de personnel pour le commerce de marchandises","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5400",5400,"Charges de personnel dans la fournitures de prestations de services","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5600",5600,"Charges de personnel dans l'administration","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5700",5700,"Charges sociales","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5700",5700,"AVS,AI, APG, Assurance-chômage","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5710",5710,"Prévoyance professionnelle","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5720",5720,"Assurance-accidents","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5730",5730,"Assurance indemnités journalières","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5800",5800,"Autres charges de personnel","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5810",5810,"Idemnités de frais","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5820",5820,"Formation","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5830",5830,"Recherche de personnel","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5840",5840,"Habits de travail","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5850",5850,"Diverses charges de personnel","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_5900",5900,"Prestation de travail de tiers","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6000",6000,"Charges de locaux/ Loyer","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6100",6100,"Entretien, réparations, remplacement","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6200",6200,"Charges de véhicules et de transport","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6210",6210,"Réparation, service/nettoyage","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6220",6220,"Carburants","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6230",6230,"Assurances véhicules","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6240",6240,"Taxes véhicules","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6250",6250,"Leasing","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6300",6300,"Assurances choses, droits, taxes, autorisations et patents","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6400",6400,"Charges d'énergie","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6500",6500,"Charges d'administration et d'informatique","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6510",6510,"Fournitures","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6520",6520,"Téléphone et internet","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6530",6530,"Charges de licences","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6600",6600,"Publicité","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6700",6700,"Autres charges d'exploitation","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6710",6710,"Frais de voyage","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6720",6720,"Frais de clientèle","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6730",6730,"Côtisations","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6740",6740,"Honoraires pour conseil","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6800",6800,"Charges financières","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_6900",6900,"Amortissements","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_7000",7000,"Resultat des activités annexes","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_7400",7400,"Résultat des placements fianciers (non nécessaires à l'entreprise)","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_7500",7500,"Résultat d'immeubles","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_7900",7900,"Bénéfices provenant de l'aliénation d'actif immobilisés","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_8000",8000,"Résultat exceptionnel","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_8200",8200,"Resultat hors exploitation","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_8800",8800,"Résultat des intérêts minoritaires","account.data_account_type_expenses",,"enfinfidu_chart_template"
"specific_account.account_tmp_8900",8900,"Charges d'impôt","account.data_account_type_expenses",,"enfinfidu_chart_template"
